Municipio,Cargo,Numero_Candidato,Nome_Completo,Nome_Urna,Tipo_Agremiacao,Partido,UF_Nascimento,Mun_Nascimento,Idade_Posse,Genero,Grau_Instrucao,Estado_Civil,Declar_Racial,Ocupacao,Despesas_Max_Partido,Reeleicao,Declar_Bens
JACAREACANGA,VEREADOR,20678,MARIA DA CONCEICAO FERREIRA NUNES,CONCI,PARTIDO ISOLADO,PSC,MA,SÃO JOÃO DO CARÚ,43,FEMININO,LÊ E ESCREVE,SOLTEIRO(A),BRANCA,EMPRESÁRIO,12307.75,N,N
IGARAPÉ-AÇU,VEREADOR,15000,MÁRCIO NOGUEIRA LOPES,XORO PARDAL,PARTIDO ISOLADO,MDB,PA,BELÉM,33,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,VEREADOR,25592.36,N,S
CONCEIÇÃO DO ARAGUAIA,VEREADOR,20200,JOAQUIM LUIZ NERYS GONÇALVES DOS SANTOS,JOAQUIM LUIZ,PARTIDO ISOLADO,PSC,PA,CONCEIÇÃO DO ARAGUAIA,35,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),SEM INFORMAÇÃO,VEREADOR,61432.14,N,S
TERRA ALTA,VEREADOR,20789,ALISSON DO ROSARIO OLIVEIRA,PROF  ALISSON OLIVEIRA,PARTIDO ISOLADO,PSC,PA,MARAPANIM,32,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,OUTROS,12307.75,N,S
BENEVIDES,VEREADOR,90452,LESIANE SILVA DO NASCIMENTO,LEISY  NASCIMENTO,PARTIDO ISOLADO,PROS,PA,ANANINDEUA,32,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,OUTROS,39638.66,N,S
MÃE DO RIO,VEREADOR,10555,MARIA DO SOCORRO PEREIRA COSTA,MARIA NEGA,PARTIDO ISOLADO,REPUBLICANOS,PA,SÃO DOMINGOS DO CAPIM,35,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,DONA DE CASA,12307.75,N,S
SÃO JOÃO DA PONTA,VEREADOR,15007,ANA PAULA DA COSTA SILVA,ANA PAULA,PARTIDO ISOLADO,MDB,PA,SÃO JOÃO DA PONTA,30,FEMININO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,AGRICULTOR,12307.75,N,S
IGARAPÉ-AÇU,VEREADOR,15300,ANTONIO DERIVAN CAETANO COSTA,PIRIKITO SHOW,PARTIDO ISOLADO,MDB,PA,IGARAPÉ-AÇU,30,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,25592.36,N,S
GURUPÁ,VEREADOR,20222,BENEDITO BARBOSA COIMBRA,BENEDITO BARBOSA COIMBRA,PARTIDO ISOLADO,PSC,PA,PORTO DE MOZ,36,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,OUTROS,20276.13,N,S
CONCEIÇÃO DO ARAGUAIA,VEREADOR,25125,EUDOXIA RIBEIRO DA SILVA,EUDOXIA,PARTIDO ISOLADO,DEM,PA,CONCEIÇÃO DO ARAGUAIA,48,FEMININO,ENSINO MÉDIO INCOMPLETO,DIVORCIADO(A),PRETA,OUTROS,61432.14,N,S
AUGUSTO CORRÊA,VEREADOR,12012,JOSÉ DE ASSIS LUZ DE ARAÚJO,ZECA ARAÚJO,PARTIDO ISOLADO,PDT,PA,BRAGANÇA,34,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,SERVIDOR PÚBLICO MUNICIPAL,16318.14,N,S
SÃO JOÃO DO ARAGUAIA,VEREADOR,13333,ANTONIO SIMAO RAMOS ROCHA,SIMAO,PARTIDO ISOLADO,PT,PA,JACUNDÁ,32,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,AGRICULTOR,12307.75,N,S
CASTANHAL,VEREADOR,11231,RUTILENE DE JESUS SILVA,RUTI DO LANCHE,PARTIDO ISOLADO,PP,PA,CASTANHAL,40,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,OUTROS,53698.78,N,S
OEIRAS DO PARÁ,VEREADOR,45555,EDSON PEREIRA DE SOUSA,EDSON SOUSA,PARTIDO ISOLADO,PSDB,PA,CAMETÁ,33,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,AGRICULTOR,42582.54,N,S
IPIXUNA DO PARÁ,VEREADOR,10123,JEFFERSON DOS SANTOS MOREIRA,JEFFERSOM SANTOS,PARTIDO ISOLADO,REPUBLICANOS,PA,SÃO DOMINGOS DO CAPIM,31,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,PEDAGOGO,12307.75,N,S
IGARAPÉ-MIRI,VEREADOR,51444,BRUNA DE CASTRO CORREA,IRMÃ BRUNA,PARTIDO ISOLADO,PATRIOTA,PA,IGARAPÉ-MIRI,33,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PRETA,MANICURE E MAQUILADOR,16625.55,N,S
SANTA MARIA DO PARÁ,VEREADOR,10101,WILMA DE ARAUJO NEVES,VIVI BOLOS,PARTIDO ISOLADO,REPUBLICANOS,PA,CASTANHAL,30,FEMININO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,OUTROS,30015.81,N,S
SÃO FÉLIX DO XINGU,VEREADOR,77191,MARCELO RESENDE DA SILVA,MARCELO RESENDE,PARTIDO ISOLADO,SOLIDARIEDADE,PA,CONCEIÇÃO DO ARAGUAIA,41,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,PRODUTOR AGROPECUÁRIO,53959.13,N,S
SANTA MARIA DAS BARREIRAS,VEREADOR,22123,FERNANDO OLIVEIRA DE MELO,FERNANDO MELO,PARTIDO ISOLADO,PL,PA,REDENÇÃO,34,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,12307.75,N,S
TOMÉ-AÇU,VEREADOR,17222,CLAUDIONOR VIEIRA SANTOS,CLAÚDIO VIEIRA,PARTIDO ISOLADO,PSL,PA,TOMÉ-AÇU,31,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,AGRICULTOR,24048.38,N,S
ALMEIRIM,VEREADOR,14111,RAIMUNDO UCHOA VIEIRA NETO,ZECA UCHOA,PARTIDO ISOLADO,PTB,PA,ALMEIRIM,32,MASCULINO,SUPERIOR COMPLETO,CASADO(A),SEM INFORMAÇÃO,OUTROS,15285.23,N,S
BRAGANÇA,VEREADOR,55444,REINALDO ADRIANO MARTINS,GIGANTE DA COMUNICAÇÃO,PARTIDO ISOLADO,PSD,PA,TAILÂNDIA,28,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,OUTROS,55696.8,N,S
MARABÁ,VEREADOR,25100,BISMARQUE MARTINS DA CONCEIÇÃO,BISMARQUE MARTINS,PARTIDO ISOLADO,DEM,PA,MARABÁ,31,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,OUTROS,238660.11,N,S
SENADOR JOSÉ PORFÍRIO,VEREADOR,51100,VALDEMIR RATES DO NASCIMENTO,QUATI,PARTIDO ISOLADO,PATRIOTA,BA,PRADO,65,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),BRANCA,AGRICULTOR,18485.86,N,S
MOJU,VEREADOR,14444,DENIS DANILO REIS DE SÁ,DENIS DANILO,PARTIDO ISOLADO,PTB,PA,BELÉM,33,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,SERVIDOR PÚBLICO MUNICIPAL,12307.75,N,S
RONDON DO PARÁ,VEREADOR,55222,CARLOS ALMEIDA VIDAL,BUDEGA,PARTIDO ISOLADO,PSD,ES,MONTANHA,50,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,OUTROS,17356.69,S,S
ORIXIMINÁ,VEREADOR,28280,CELYS PIMENTA DE ANDRADE,CELYS ANDRADE,PARTIDO ISOLADO,PRTB,PA,ORIXIMINÁ,31,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,SERVIDOR PÚBLICO MUNICIPAL,45737.83,N,S
CONCEIÇÃO DO ARAGUAIA,VEREADOR,40345,JACKELINE DOS SANTOS COSTA,PROFESSORA JACKELINE,PARTIDO ISOLADO,PSB,PA,CONCEIÇÃO DO ARAGUAIA,33,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),SEM INFORMAÇÃO,PROFESSOR DE ENSINO SUPERIOR,61432.14,N,S
CAPANEMA,VEREADOR,55789,JOSÉ RAFAEL DE SOUSA AIRES,RAFAEL DEL LIMPE,PARTIDO ISOLADO,PSD,PA,CAPANEMA,32,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,COMERCIANTE,49946.34,N,S
BRASIL NOVO,VEREADOR,20333,JESIVALDO DO NASCIMENTO LEMOS,WALDO LEMOS,PARTIDO ISOLADO,PSC,PA,ALTAMIRA,35,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,SERVIDOR PÚBLICO MUNICIPAL,20532.13,N,S
SANTA BÁRBARA DO PARÁ,VEREADOR,13555,ELIESSE DA CONCEIÇÃO,ELIESSE,PARTIDO ISOLADO,PT,ES,SÃO MATEUS,53,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,OUTROS,12307.75,N,S
BREU BRANCO,VEREADOR,19797,MAURA FERNANDA REGO VIEIRA,FERNANDA VIEIRA,PARTIDO ISOLADO,PODE,PI,TERESINA,23,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,EMPRESÁRIO,32270.52,N,S
NOVO REPARTIMENTO,VEREADOR,55000,GELSON HUGO DE ALMEIDA MACHADO,HUGO MACHADO,PARTIDO ISOLADO,PSD,PA,SÃO GERALDO DO ARAGUAIA,31,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,PECUARISTA,49644.56,N,S
CAPITÃO POÇO,VEREADOR,20777,SERGIO DE ASSIS CERQUEIRA,SERGIO CERQUEIRA,PARTIDO ISOLADO,PSC,PA,BRAGANÇA,35,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,AGENTE ADMINISTRATIVO,33157.12,N,S
IGARAPÉ-MIRI,VEREADOR,90555,RAIMUNDO JUNIOR QUARESMA LOPES,RAIMUNDO JUNIOR,PARTIDO ISOLADO,PROS,PA,IGARAPÉ-MIRI,30,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,MOTORISTA PARTICULAR,16625.55,N,S
SÃO SEBASTIÃO DA BOA VISTA,VEREADOR,50050,DILCILEIA DE MELO DO ESPIRITO SANTO,PASTORA DILCILEIA,PARTIDO ISOLADO,PSOL,PA,SÃO SEBASTIÃO DA BOA VISTA,47,FEMININO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,PESCADOR,12307.75,N,S
BENEVIDES,VEREADOR,14567,AUGUSTO RENATO ROSA CALDAS,RENATO CALDAS,PARTIDO ISOLADO,PTB,PA,BELÉM,29,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,EMPRESÁRIO,39638.66,N,S
CONCEIÇÃO DO ARAGUAIA,VEREADOR,55090,CRYSLANE DOS SANTOS REGO,CRYS SANTOS,PARTIDO ISOLADO,PSD,PA,CONCEIÇÃO DO ARAGUAIA,25,FEMININO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,"VENDEDOR PRACISTA, REPRESENTANTE, CAIXEIRO-VIAJANTE E ASSEMELHADOS",61432.14,N,N
CONCEIÇÃO DO ARAGUAIA,VEREADOR,55600,THIAGO DE SOUZA PONTES,TIAGUIM DO RESENHAS,PARTIDO ISOLADO,PSD,PA,CONCEIÇÃO DO ARAGUAIA,29,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,OUTROS,61432.14,N,S
ACARÁ,VEREADOR,25678,FRANCISCO DE ASSIS LOBO DA SILVA,FRANCISCO DE ASSISS,PARTIDO ISOLADO,DEM,PA,ACARÁ,50,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PRETA,AGRICULTOR,22325.78,N,S
TUCURUÍ,VEREADOR,13555,NAUM FERREIRA DA SILVA,NAUM FERREIRA,PARTIDO ISOLADO,PT,MA,SANTO ANTÔNIO DOS LOPES,47,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,COMERCIANTE,77517.41,N,S
BRAGANÇA,VEREADOR,15678,CELIA MARIA DE MELO OLIVEIRA,CELIA OLIVEIRA,PARTIDO ISOLADO,MDB,PA,BRAGANÇA,34,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,OUTROS,55696.8,N,N
GARRAFÃO DO NORTE,VEREADOR,15222,DAMIANA SILVA FEITOSA,DAMIANA,PARTIDO ISOLADO,MDB,PA,OURÉM,33,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),BRANCA,AGRICULTOR,25768.15,N,S
SÃO MIGUEL DO GUAMÁ,VEREADOR,23013,MARCIEL LUCELIO DA SILVA SOUZA,DEP CARECA DA SAUDE,PARTIDO ISOLADO,CIDADANIA,PA,SÃO MIGUEL DO GUAMÁ,32,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,25615.83,N,S
ANANINDEUA,VEREADOR,50300,JOEL DE OLIVEIRA MACEDO,JOEL GAMBIARRA,PARTIDO ISOLADO,PSOL,PA,TUCURUÍ,39,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,ELETRICISTA E ASSEMELHADOS,115386.04,N,S
CONCEIÇÃO DO ARAGUAIA,VEREADOR,22616,LAIANE LIRA DE SOUSA,LAIANE LIRA,PARTIDO ISOLADO,PL,PA,CONCEIÇÃO DO ARAGUAIA,29,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,COZINHEIRO,61432.14,N,N
IRITUIA,VEREADOR,20345,MARIA DO SOCORRO DOS SANTOS GOMES,MARIA DO SOCORRO,PARTIDO ISOLADO,PSC,PA,IRITUIA,41,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,OUTROS,12307.75,N,N
SANTA ISABEL DO PARÁ,VEREADOR,90333,CLAUDETE LIRA MOTA DE JESUS,CLAUDIA MOTA,PARTIDO ISOLADO,PROS,PA,SANTA ISABEL DO PARÁ,45,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,DONA DE CASA,33247.26,N,S
MAGALHÃES BARATA,VEREADOR,14888,AMANDA PAIXÃO DA SILVA,AMANDA,PARTIDO ISOLADO,PTB,PA,MAGALHÃES BARATA,26,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",12307.75,N,S
RONDON DO PARÁ,VEREADOR,13123,JOELSON DIAS DA COSTA,JOELSON DIAS,PARTIDO ISOLADO,PT,MA,SÃO LUÍS,36,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,OUTROS,17356.69,N,S
BELÉM,VEREADOR,51325,SHEILA PATRÍCIA SANTANA RODRIGUES,SHEILA RODRIGUES,PARTIDO ISOLADO,PATRIOTA,PA,BELÉM,42,FEMININO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PRETA,OUTROS,438043.03,N,N
IGARAPÉ-MIRI,VEREADOR,13555,JOSÉ DOS SANTOS GONÇALVES,CAIO,PARTIDO ISOLADO,PT,PA,IGARAPÉ-MIRI,43,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PRETA,VIGILANTE,16625.55,N,S
CURUÇÁ,VEREADOR,45000,JHONATA REIS MONTEIRO,JHONATA,PARTIDO ISOLADO,PSDB,PA,CURUÇÁ,32,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,COMERCIANTE,19539.08,N,S
JACUNDÁ,VEREADOR,13777,BERTOLINO NETO DA SILVA,BETO SILVA,PARTIDO ISOLADO,PT,PA,JACUNDÁ,31,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,OUTROS,15786.99,N,S
ITAITUBA,VEREADOR,28222,DAMIAO ALVES SANTOS,DAMIAO ALVES,PARTIDO ISOLADO,PRTB,PA,ITAITUBA,37,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,ADVOGADO,28942.41,N,S
SANTARÉM,VEREADOR,40182,THARLES DE JESUS,THALES,PARTIDO ISOLADO,PSB,PA,SANTARÉM,33,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,OUTROS,83396.64,N,S
ACARÁ,VEREADOR,55145,ELIZANGELA MARIA CORREIA DA SILVA,ELI,PARTIDO ISOLADO,PSD,MA,CARUTAPERA,47,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,AGRICULTOR,22325.78,N,S
BOM JESUS DO TOCANTINS,VEREADOR,20222,LICENI COSTA SOUSA,LICENI,PARTIDO ISOLADO,PSC,MA,IMPERATRIZ,36,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,OUTROS,12307.75,N,S
SALINÓPOLIS,VEREADOR,13003,LIBNI PEREIRA DE BRITO,LIBNI BRITO,PARTIDO ISOLADO,PT,PA,SALINÓPOLIS,33,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,OUTROS,34729.59,N,S
TRACUATEUA,VEREADOR,14444,ATANAKSANDRA HERMINIA SOUSA RIBEIRO,TANA RIBEIRO,PARTIDO ISOLADO,PTB,PA,BELÉM,31,FEMININO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",12307.75,N,S
JURUTI,VEREADOR,43043,GLAUSO DA SILVA COSTA,GLAUSO COSTA,PARTIDO ISOLADO,PV,PA,JURUTI,34,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),SEM INFORMAÇÃO,AGRICULTOR,49904.2,N,S
BELÉM,VEREADOR,10318,ANDRA CORREA DE MIRANDA,ANDRA MIRANDA,PARTIDO ISOLADO,REPUBLICANOS,PA,BELÉM,33,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,OUTROS,438043.03,N,N
SÃO GERALDO DO ARAGUAIA,VEREADOR,70777,SARAH RAQUEL SABINO DE ALMEIDA,SARAH,PARTIDO ISOLADO,AVANTE,MG,BELO HORIZONTE,38,FEMININO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,DONA DE CASA,12307.75,N,S
SÃO DOMINGOS DO ARAGUAIA,VEREADOR,17777,FRANCISCO MODESTO DA SILVA FILHO,CHIQUIN MODESTO,PARTIDO ISOLADO,PSL,TO,ARAGUAÍNA,36,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,FRENTISTA,47311.7,N,S
CANAÃ DOS CARAJÁS,VEREADOR,45245,RITA DE CASSIA RODRIGUES DE MATOS,CASSIA RODRIGUES,PARTIDO ISOLADO,PSDB,PA,CURIONÓPOLIS,31,FEMININO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),BRANCA,EMPRESÁRIO,87466.1,N,S
IRITUIA,VEREADOR,36363,MARIA ROSA BARROS DA GAMA,MARIA ROSA DO AÇAITEUA,PARTIDO ISOLADO,PTC,PA,IRITUIA,33,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),BRANCA,AGRICULTOR,12307.75,N,S
JACAREACANGA,VEREADOR,20789,ELIZIANE OLIVEIRA SANTOS,KÁTIA,PARTIDO ISOLADO,PSC,PA,SANTARÉM,39,FEMININO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,SERVIDOR PÚBLICO MUNICIPAL,12307.75,N,N
CAPANEMA,VEREADOR,77657,MADSON PINHEIRO DOS SANTOS,MADSON PAPARAZZO,PARTIDO ISOLADO,SOLIDARIEDADE,PA,CAPANEMA,30,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,EMPRESÁRIO,49946.34,N,N
