Municipio,Cargo,Tipo_Agremiacao,Partido,UF_Nascimento,Idade_Posse,Genero,Grau_Instrucao,Estado_Civil,Declar_Racial,Reeleicao,Declar_Bens,Valor_Total_Declarado,Situacao
ANANINDEUA,VEREADOR,PARTIDO ISOLADO,PROS,PA,49,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,200.0,SUPLENTE
JACUNDÁ,VEREADOR,PARTIDO ISOLADO,PL,MG,60,FEMININO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,N,S,2320.18,SUPLENTE
MARITUBA,VEREADOR,PARTIDO ISOLADO,PSC,PA,40,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,890.0,NÃO ELEITO
PORTO DE MOZ,VEREADOR,PARTIDO ISOLADO,PT,PA,56,MASCULINO,LÊ E ESCREVE,CASADO(A),PARDA,N,S,1594.0,SUPLENTE
PONTA DE PEDRAS,VEREADOR,PARTIDO ISOLADO,PSC,PA,38,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,2000.0,SUPLENTE
MUANÁ,VEREADOR,PARTIDO ISOLADO,REPUBLICANOS,PA,39,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,1780.0,SUPLENTE
PRAINHA,VEREADOR,PARTIDO ISOLADO,PSDB,PA,46,MASCULINO,LÊ E ESCREVE,CASADO(A),PARDA,N,S,356.95,SUPLENTE
VISEU,VEREADOR,PARTIDO ISOLADO,PTB,PA,40,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,N,S,500.0,SUPLENTE
ULIANÓPOLIS,VEREADOR,PARTIDO ISOLADO,MDB,BA,44,MASCULINO,LÊ E ESCREVE,CASADO(A),PARDA,N,S,2700.4,SUPLENTE
JURUTI,VEREADOR,PARTIDO ISOLADO,PSD,PA,51,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,N,4000.0,SUPLENTE
URUARÁ,VEREADOR,PARTIDO ISOLADO,MDB,PA,37,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,6219.92,ELEITO POR QP
JACAREACANGA,VEREADOR,PARTIDO ISOLADO,PSC,PA,42,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),INDÍGENA,N,N,1567.5,SUPLENTE
ALTAMIRA,VEREADOR,PARTIDO ISOLADO,DC,PA,31,MASCULINO,LÊ E ESCREVE,SOLTEIRO(A),BRANCA,N,N,380.0,NÃO ELEITO
BAGRE,VEREADOR,PARTIDO ISOLADO,PT,PA,36,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,N,S,1640.0,NÃO ELEITO
JACUNDÁ,VEREADOR,PARTIDO ISOLADO,PODE,BA,54,FEMININO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,N,2000.35,SUPLENTE
ANANINDEUA,VEREADOR,PARTIDO ISOLADO,PROS,PA,37,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,15000.0,SUPLENTE
AVEIRO,VEREADOR,PARTIDO ISOLADO,DEM,PB,43,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,1000.0,ELEITO POR QP
MÃE DO RIO,VEREADOR,PARTIDO ISOLADO,PODE,PA,69,FEMININO,SUPERIOR COMPLETO,VIÚVO(A),PARDA,N,S,3099.39,NÃO ELEITO
BELÉM,VEREADOR,PARTIDO ISOLADO,PSL,PA,54,FEMININO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,N,S,11197.0,NÃO ELEITO
CASTANHAL,VEREADOR,PARTIDO ISOLADO,PT,PE,59,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),BRANCA,N,S,2594.27,NÃO ELEITO
NOVA IPIXUNA,VEREADOR,PARTIDO ISOLADO,MDB,MA,40,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,VIÚVO(A),BRANCA,N,S,4550.0,ELEITO POR QP
MUANÁ,VEREADOR,PARTIDO ISOLADO,PROS,PA,38,FEMININO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,N,S,200.0,SUPLENTE
OURÉM,VEREADOR,PARTIDO ISOLADO,PSC,PA,45,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,S,N,1745.0,ELEITO POR MÉDIA
JACUNDÁ,VEREADOR,PARTIDO ISOLADO,PT,PA,29,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,N,S,5914.57,NÃO ELEITO
GARRAFÃO DO NORTE,VEREADOR,PARTIDO ISOLADO,PSB,CE,59,MASCULINO,LÊ E ESCREVE,SOLTEIRO(A),PARDA,N,S,800.0,SUPLENTE
BONITO,VEREADOR,PARTIDO ISOLADO,MDB,PA,27,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,N,S,45.0,SUPLENTE
PEIXE-BOI,VEREADOR,PARTIDO ISOLADO,PV,PA,60,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,1026.35,SUPLENTE
PARAGOMINAS,VEREADOR,PARTIDO ISOLADO,PATRIOTA,PA,44,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,1302.4,NÃO ELEITO
BREVES,VEREADOR,PARTIDO ISOLADO,PT,PA,47,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,N,S,1594.27,NÃO ELEITO
URUARÁ,VEREADOR,PARTIDO ISOLADO,PL,PR,55,MASCULINO,LÊ E ESCREVE,CASADO(A),BRANCA,N,N,1000.0,SUPLENTE
SALINÓPOLIS,VEREADOR,PARTIDO ISOLADO,PT,PA,59,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,230.45,NÃO ELEITO
ELDORADO DOS CARAJÁS,VEREADOR,PARTIDO ISOLADO,MDB,CE,65,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,DIVORCIADO(A),PARDA,N,S,1750.0,SUPLENTE
ULIANÓPOLIS,VEREADOR,PARTIDO ISOLADO,PTB,PA,43,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,2691.8,SUPLENTE
CURUÇÁ,VEREADOR,PARTIDO ISOLADO,PT,GO,20,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,S,594.27,SUPLENTE
ALTAMIRA,VEREADOR,PARTIDO ISOLADO,PSD,PA,29,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PRETA,N,S,1318.0,SUPLENTE
MARITUBA,VEREADOR,PARTIDO ISOLADO,REPUBLICANOS,PA,30,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,N,S,500.0,SUPLENTE
BELÉM,VEREADOR,PARTIDO ISOLADO,SOLIDARIEDADE,PA,29,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,6200.0,SUPLENTE
REDENÇÃO,VEREADOR,PARTIDO ISOLADO,PSL,PA,33,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,9000.0,SUPLENTE
SANTA MARIA DO PARÁ,VEREADOR,PARTIDO ISOLADO,MDB,PA,25,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,806.76,SUPLENTE
MOJU,VEREADOR,PARTIDO ISOLADO,PSD,PA,27,FEMININO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,N,2450.0,NÃO ELEITO
SANTARÉM,VEREADOR,PARTIDO ISOLADO,PP,PA,39,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,S,S,1100.0,SUPLENTE
BELÉM,VEREADOR,PARTIDO ISOLADO,DEM,PA,30,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,N,S,105400.0,SUPLENTE
MARITUBA,VEREADOR,PARTIDO ISOLADO,PSB,PA,52,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,670.0,SUPLENTE
ANANINDEUA,VEREADOR,PARTIDO ISOLADO,PSC,PA,58,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,4000.0,SUPLENTE
PORTEL,VEREADOR,PARTIDO ISOLADO,PSDB,PA,37,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,1500.95,SUPLENTE
SANTA MARIA DAS BARREIRAS,VEREADOR,PARTIDO ISOLADO,PSC,GO,41,FEMININO,SUPERIOR COMPLETO,CASADO(A),BRANCA,N,S,940.45,ELEITO POR QP
TRACUATEUA,VEREADOR,PARTIDO ISOLADO,CIDADANIA,PA,33,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,N,S,722.5,ELEITO POR MÉDIA
BELÉM,VEREADOR,PARTIDO ISOLADO,PSOL,PA,47,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,4337.5,SUPLENTE
SANTA MARIA DAS BARREIRAS,VEREADOR,PARTIDO ISOLADO,PSL,DF,42,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,N,S,3375.32,ELEITO POR MÉDIA
ALENQUER,VEREADOR,PARTIDO ISOLADO,PV,PA,51,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,800.0,NÃO ELEITO
SENADOR JOSÉ PORFÍRIO,VEREADOR,PARTIDO ISOLADO,PSC,MA,46,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,871.6,SUPLENTE
BREVES,VEREADOR,PARTIDO ISOLADO,PTB,PA,44,MASCULINO,LÊ E ESCREVE,SOLTEIRO(A),PARDA,N,S,3011.9,ELEITO POR MÉDIA
BREJO GRANDE DO ARAGUAIA,VEREADOR,PARTIDO ISOLADO,PTB,PA,24,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,N,S,887.48,NÃO ELEITO
ALMEIRIM,VEREADOR,PARTIDO ISOLADO,DEM,PA,60,MASCULINO,LÊ E ESCREVE,SOLTEIRO(A),PARDA,N,S,1808.88,SUPLENTE
JACUNDÁ,VEREADOR,PARTIDO ISOLADO,PSL,MA,48,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,N,S,9719.8,ELEITO POR QP
NOVA IPIXUNA,VEREADOR,PARTIDO ISOLADO,PT,MA,45,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,594.27,SUPLENTE
VISEU,VEREADOR,PARTIDO ISOLADO,PTB,TO,44,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,S,4950.35,SUPLENTE
SÃO JOÃO DE PIRABAS,VEREADOR,PARTIDO ISOLADO,PL,PA,58,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,N,S,650.0,NÃO ELEITO
TRACUATEUA,VEREADOR,PARTIDO ISOLADO,REPUBLICANOS,PI,44,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,1130.0,ELEITO POR MÉDIA
ALMEIRIM,VEREADOR,PARTIDO ISOLADO,PODE,PA,55,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),SEM INFORMAÇÃO,N,S,810.0,NÃO ELEITO
CASTANHAL,VEREADOR,PARTIDO ISOLADO,MDB,PA,55,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),BRANCA,N,S,4919.9,SUPLENTE
CAPANEMA,VEREADOR,PARTIDO ISOLADO,SOLIDARIEDADE,PA,66,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,N,S,320.0,SUPLENTE
MONTE ALEGRE,VEREADOR,PARTIDO ISOLADO,PSC,PA,34,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,796.0,ELEITO POR MÉDIA
CURIONÓPOLIS,VEREADOR,PARTIDO ISOLADO,MDB,MA,48,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,N,S,8000.0,SUPLENTE
JACUNDÁ,VEREADOR,PARTIDO ISOLADO,PODE,BA,61,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,N,S,5000.0,SUPLENTE
BREVES,VEREADOR,PARTIDO ISOLADO,MDB,PA,62,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,N,S,2695.0,SUPLENTE
BELÉM,VEREADOR,PARTIDO ISOLADO,PV,PA,34,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,S,S,51718.0,NÃO ELEITO
IGARAPÉ-AÇU,VEREADOR,PARTIDO ISOLADO,PSOL,PA,38,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,1979.83,NÃO ELEITO
MARAPANIM,VEREADOR,PARTIDO ISOLADO,DEM,PA,48,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,S,120.0,SUPLENTE
BOM JESUS DO TOCANTINS,VEREADOR,PARTIDO ISOLADO,PC do B,PA,65,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,850.0,NÃO ELEITO
REDENÇÃO,VEREADOR,PARTIDO ISOLADO,PSDB,TO,51,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,S,S,1000.0,ELEITO POR MÉDIA
SANTARÉM,VEREADOR,PARTIDO ISOLADO,PV,PA,56,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,N,S,860.0,SUPLENTE
BELÉM,VEREADOR,PARTIDO ISOLADO,PROS,PA,41,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,N,2800.0,SUPLENTE
NOVO REPARTIMENTO,VEREADOR,PARTIDO ISOLADO,PSC,MA,32,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PRETA,N,N,500.0,SUPLENTE
OURÉM,VEREADOR,PARTIDO ISOLADO,DEM,PA,25,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,S,S,2000.0,SUPLENTE
CASTANHAL,VEREADOR,PARTIDO ISOLADO,SOLIDARIEDADE,PA,37,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,4600.0,NÃO ELEITO
SÃO FÉLIX DO XINGU,VEREADOR,PARTIDO ISOLADO,REPUBLICANOS,TO,48,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,510.0,SUPLENTE
REDENÇÃO,VEREADOR,PARTIDO ISOLADO,PSD,PA,35,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,N,S,7183.15,SUPLENTE
BELÉM,VEREADOR,PARTIDO ISOLADO,PV,PA,26,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),SEM INFORMAÇÃO,N,S,2285.71,NÃO ELEITO
ABAETETUBA,VEREADOR,PARTIDO ISOLADO,PL,PA,33,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,N,S,2942.7,SUPLENTE
SANTANA DO ARAGUAIA,VEREADOR,PARTIDO ISOLADO,PTB,PA,36,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,N,S,2700.0,SUPLENTE
ANANINDEUA,VEREADOR,PARTIDO ISOLADO,MDB,PA,39,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,3740.0,SUPLENTE
MOJU,VEREADOR,PARTIDO ISOLADO,MDB,PA,30,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,430.0,SUPLENTE
RONDON DO PARÁ,VEREADOR,PARTIDO ISOLADO,PSL,MA,46,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,N,S,600.0,NÃO ELEITO
JACUNDÁ,VEREADOR,PARTIDO ISOLADO,PODE,MA,46,MASCULINO,LÊ E ESCREVE,SOLTEIRO(A),PARDA,N,N,2500.0,SUPLENTE
CURUÇÁ,VEREADOR,PARTIDO ISOLADO,DEM,PA,33,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,11280.1,ELEITO POR QP
BELÉM,VEREADOR,PARTIDO ISOLADO,PODE,PA,51,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,N,S,4063.34,SUPLENTE
NOVA IPIXUNA,VEREADOR,PARTIDO ISOLADO,PSC,MA,41,FEMININO,SUPERIOR COMPLETO,VIÚVO(A),BRANCA,N,S,2819.9,SUPLENTE
RONDON DO PARÁ,VEREADOR,PARTIDO ISOLADO,PT,PA,33,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,1898.6,NÃO ELEITO
JACAREACANGA,VEREADOR,PARTIDO ISOLADO,PSDB,PA,28,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,1050.0,SUPLENTE
ITAITUBA,VEREADOR,PARTIDO ISOLADO,PSL,PA,44,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,N,S,9637.380000000005,SUPLENTE
ACARÁ,VEREADOR,PARTIDO ISOLADO,MDB,PA,36,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,S,S,3002.11,SUPLENTE
ALENQUER,VEREADOR,PARTIDO ISOLADO,PDT,PA,28,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,S,1000.0,SUPLENTE
ALTAMIRA,VEREADOR,PARTIDO ISOLADO,PSD,PA,40,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,N,S,2818.0,SUPLENTE
RONDON DO PARÁ,VEREADOR,PARTIDO ISOLADO,MDB,MA,44,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,S,N,3664.0,ELEITO POR QP
CURIONÓPOLIS,VEREADOR,PARTIDO ISOLADO,PSDB,MA,44,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,4700.0,ELEITO POR QP
ANAPU,VEREADOR,PARTIDO ISOLADO,PSD,PA,28,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,N,S,10964.8,ELEITO POR QP
SÃO DOMINGOS DO ARAGUAIA,VEREADOR,PARTIDO ISOLADO,PL,PA,40,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,N,N,5000.0,ELEITO POR QP
CASTANHAL,VEREADOR,PARTIDO ISOLADO,MDB,PA,34,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,N,S,3538.0,SUPLENTE
VITÓRIA DO XINGU,VEREADOR,PARTIDO ISOLADO,PSB,PA,40,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,S,S,1250.0,SUPLENTE
ITAITUBA,VEREADOR,PARTIDO ISOLADO,PSB,PA,34,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,N,S,4000.0,SUPLENTE
BREJO GRANDE DO ARAGUAIA,VEREADOR,PARTIDO ISOLADO,PL,TO,20,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,N,S,1987.48,NÃO ELEITO
CASTANHAL,VEREADOR,PARTIDO ISOLADO,PT,PA,20,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),BRANCA,N,S,594.27,NÃO ELEITO
NOVA IPIXUNA,VEREADOR,PARTIDO ISOLADO,MDB,PA,34,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,DIVORCIADO(A),PARDA,N,S,146.25,SUPLENTE
ITAITUBA,VEREADOR,PARTIDO ISOLADO,MDB,CE,35,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,N,S,16967.0,ELEITO POR QP
ABEL FIGUEIREDO,VEREADOR,PARTIDO ISOLADO,PL,MA,46,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PRETA,S,S,600.0,SUPLENTE
PLACAS,VEREADOR,PARTIDO ISOLADO,DEM,PA,35,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,3700.0,ELEITO POR QP
NOVO PROGRESSO,VEREADOR,PARTIDO ISOLADO,PATRIOTA,MT,22,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,N,S,4660.0,SUPLENTE
BARCARENA,VEREADOR,PARTIDO ISOLADO,PDT,PA,39,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,7185.0,NÃO ELEITO
VIGIA,VEREADOR,PARTIDO ISOLADO,PSD,PA,30,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,2300.0,ELEITO POR QP
VISEU,VEREADOR,PARTIDO ISOLADO,PL,PA,34,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,N,S,1419.9,ELEITO POR QP
JACUNDÁ,VEREADOR,PARTIDO ISOLADO,PROS,PA,37,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,N,S,4180.22,ELEITO POR QP
ABAETETUBA,VEREADOR,PARTIDO ISOLADO,MDB,PA,23,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,N,4482.18,SUPLENTE
BELTERRA,VEREADOR,PARTIDO ISOLADO,PT,PA,21,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,594.27,SUPLENTE
FLORESTA DO ARAGUAIA,VEREADOR,PARTIDO ISOLADO,PATRIOTA,GO,44,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,N,S,150.0,NÃO ELEITO
RONDON DO PARÁ,VEREADOR,PARTIDO ISOLADO,PSDB,PA,32,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,350.0,SUPLENTE
OURILÂNDIA DO NORTE,VEREADOR,PARTIDO ISOLADO,PSB,PA,45,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,1329.5,NÃO ELEITO
CURUÁ,VEREADOR,PARTIDO ISOLADO,PSDB,PA,21,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PRETA,N,S,1500.0,SUPLENTE
ORIXIMINÁ,VEREADOR,PARTIDO ISOLADO,PSD,PA,29,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,N,S,3600.0,SUPLENTE
BELÉM,VEREADOR,PARTIDO ISOLADO,SOLIDARIEDADE,PA,18,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,6200.0,SUPLENTE
JACUNDÁ,VEREADOR,PARTIDO ISOLADO,PSL,PA,39,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,N,N,7572.08,SUPLENTE
CASTANHAL,VEREADOR,PARTIDO ISOLADO,PSC,PA,47,MASCULINO,SUPERIOR INCOMPLETO,CASADO(A),PARDA,N,S,5711.650000000001,ELEITO POR QP
MARITUBA,VEREADOR,PARTIDO ISOLADO,PV,MA,40,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,N,S,1300.0,SUPLENTE
ABAETETUBA,VEREADOR,PARTIDO ISOLADO,PSDB,PA,42,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,300.0,SUPLENTE
GOIANÉSIA DO PARÁ,VEREADOR,PARTIDO ISOLADO,PSC,PA,33,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,11208.8,ELEITO POR QP
VITÓRIA DO XINGU,VEREADOR,PARTIDO ISOLADO,PTB,PA,39,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,N,S,1685.0,SUPLENTE
GOIANÉSIA DO PARÁ,VEREADOR,PARTIDO ISOLADO,AVANTE,PI,56,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,1166.8,SUPLENTE
ANANINDEUA,VEREADOR,PARTIDO ISOLADO,PDT,PA,42,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,8207.5,SUPLENTE
