Numero_Candidato,Nome_Completo,Votos,Situacao
40149,YACTA MARIA REBELO VIANA,140,SUPLENTE
14057,XETERIA PARAKANÃ,28,SUPLENTE
51234,XERE KAYAPO,165,SUPLENTE
43888,WSDENBORG BORGES VIEIRA,92,SUPLENTE
20567,WMARINERGES DA CONCEIÇAO LOPES RAIOL,24,SUPLENTE
45453,WLLISSES BAIA ALVES,76,SUPLENTE
20555,WLICLEIDES PEREIRA SOARES,283,ELEITO POR QP
90111,WLADSON FRANÇA COUTO,20,NÃO ELEITO
65567,WLADISON DA CONCEIÇÃO FRANCO,95,SUPLENTE
15678,WLADIMIR CONCEIÇÃO COSTA,214,ELEITO POR MÉDIA
23111,WITALO JOSÉ ARAÚJO DE OLIVEIRA,550,ELEITO POR MÉDIA
70766,WISTLER JOSE MACHADO FERNANDES FILHO,101,NÃO ELEITO
50131,WISNTON MOURA DE MENEZES,57,SUPLENTE
17123,WIRATON RESENDE DA SILVA,215,ELEITO POR MÉDIA
43007,WILTON OEDSON MARQUES DE OLIVEIRA,16,NÃO ELEITO
15,WILTON MIRANDA DE LIMA,2179,ELEITO
20000,WILTON JURIQUES BARROS,159,SUPLENTE
14789,WILTES GOMES DIAS,989,ELEITO POR MÉDIA
14444,WILSONEIDE DA SILVA LIMA,14,NÃO ELEITO
25456,WILSON XAVIER GUIMARÃES,282,SUPLENTE
51555,WILSON VIEIRA LIMA,71,SUPLENTE
17000,WILSON SOARES ROSA,384,ELEITO POR QP
15115,WILSON SERGIO DOS SANTOS SILVA,221,SUPLENTE
13123,WILSON SARAIVA NABATE,161,SUPLENTE
14777,WILSON RODRIGUES ARAÚJO,592,SUPLENTE
15015,WILSON PEREIRA DE SOUZA,51,SUPLENTE
22190,WILSON PEREIRA DE CARVALHO,53,NÃO ELEITO
10456,WILSON PAULINO DOS SANTOS,437,ELEITO POR MÉDIA
19019,WILSON MOREIRA GARCIA,86,NÃO ELEITO
22200,WILSON MENDES DO CARMO,42,SUPLENTE
15555,WILSON MATOS DE BRITO FILHO,725,SUPLENTE
77234,WILSON LUIZ DE ARAUJO SILVA,91,SUPLENTE
20800,WILSON LOPES DA SILVA,624,ELEITO POR MÉDIA
15222,WILSON FERREIRA DA SILVA,394,SUPLENTE
13222,WILSON DO SOCORRO REIS AMORIM,83,NÃO ELEITO
19666,WILSON DANTAS DE BRITO,136,SUPLENTE
10777,WILSON DA SILVA REZENDE,216,SUPLENTE
10222,WILSON DA SILVA JORDÃO FILHO,5,NÃO ELEITO
10237,WILSON DA SILVA,19,NÃO ELEITO
15555,WILSON CÃMARA FRAZÃO FILHO,404,SUPLENTE
22123,WILSON CRUZ DIAS,116,NÃO ELEITO
43123,WILSON CORDEIRO ALBUQUERQUE NETO,231,NÃO ELEITO
50222,WILSON CLEBSON SILVA DOS SANTOS,413,NÃO ELEITO
43678,WILSON CHAVES PANTOJA,11,SUPLENTE
25500,WILSON CEZAR BARROSO SARGES,316,SUPLENTE
65789,WILSON CARLOS ARAÚJO,9,NÃO ELEITO
40545,WILSON ARAÚJO BARROS,16,SUPLENTE
45045,WILMON MOTA MARTINS,1232,ELEITO POR MÉDIA
43333,WILMAR DE OLIVEIRA CABRAL,25,SUPLENTE
15200,WILMAR ALVES LOBO,108,SUPLENTE
90213,WILMA KARINA DOS SANTOS CARDIAS BEZERRA,11,SUPLENTE
20115,WILMA FREIRE DE ARAÚJO,110,SUPLENTE
10101,WILMA DE ARAUJO NEVES,7,SUPLENTE
10172,WILMA DA SILVA CARVALHO,16,SUPLENTE
19555,WILMA CRISTINA CORREA SOARES,46,SUPLENTE
17051,WILLYS CAMPOS TAVARES,17,NÃO ELEITO
20300,WILLSMAYLEN DE SOUSA BRANDÃO CARNEIRO,19,SUPLENTE
25255,WILLON BRENNO NASCIMENTO DE SOUZA,461,SUPLENTE
77666,WILLISSES DOS SANTOS CARVALHO,38,NÃO ELEITO
25369,WILLIBRAM RAATZ BARCELLOS,26,SUPLENTE
22021,WILLIAN SILVA DE CARVALHO,19,SUPLENTE
51222,WILLIAN GALVÃO DE PAIVA,99,NÃO ELEITO
10111,WILLIAN BRUNO PAIVA,23,SUPLENTE
22798,WILLIAN ANDREY RODRIGUES ALVES,0,SUPLENTE
20222,WILLIAMS FRANÇA VALENTE,160,SUPLENTE
10101,WILLIAMS ANTONIO DE LIMA,33,SUPLENTE
55000,WILLIAMAR SOARES DE SOUSA,511,SUPLENTE
43210,WILLIAM ROMARIO SOUZA FARIAS,4,NÃO ELEITO
25111,WILLIAM MARIA DINIZ,13,SUPLENTE
22001,WILLIAM LIMA MENDES,1026,SUPLENTE
14555,WILLIAM DE ABREU CRUZ,37,SUPLENTE
15400,WILLIAM CARDOSO DA CUNHA,39,SUPLENTE
90600,WILLEN SIQUEIRA DOS ANJOS,91,SUPLENTE
15444,WILLEN LIMA GUEDELHA,373,SUPLENTE
17777,WILLDGLAND PEREIRA  DE ARRUDA,22,NÃO ELEITO
15222,WILLAME PEREIRA TEIXEIRA,23,SUPLENTE
19303,WILLAME CORTEZ RODRIGUES,28,SUPLENTE
25123,WILKERSON SANTOS DA SILVA SARGES,835,ELEITO POR QP
19077,WILKENS JOSÉ DA COSTA MARTINS,8,SUPLENTE
20555,WILKA GUIMARAES NOLASCO,177,SUPLENTE
13345,WILKA FERREIRA LIMA,12,NÃO ELEITO
45666,WILISMAR DATIE DE SOUSA,172,SUPLENTE
22345,WILIO JOSE DA SILVA RAMOS,118,SUPLENTE
17115,WILIAN ALVES DA SILVA,258,SUPLENTE
15000,WILIAMS BECKMANN DA SILVA PINHEIRO,472,SUPLENTE
19555,WILERCIO RENAN PINTO RODRIGUES,39,NÃO ELEITO
15,WILDSON ARAÚJO DE MELLO,6075,NÃO ELEITO
12789,WILDER CLELSO RODRIGUES COSTA,28,SUPLENTE
55055,WILDER AMINTAS LISBOA POMPEU,249,SUPLENTE
15222,WILDENBERG MELO SOUSA,533,ELEITO POR QP
51555,WILDELEON CHAVES DA SILVA,44,NÃO ELEITO
45555,WILAME PEDROZA SANTOS,609,ELEITO POR QP
12111,WILAESIO DE PAIVA OLIVEIRA,157,SUPLENTE
14556,WHYGO LINYKE LISBOA DE ANDRADE,188,SUPLENTE
50,WHISNEY LUIZ PEREIRA MESSIAS,956,NÃO ELEITO
13,WHEBERTON ALUIZIO BONFIM ARAUJO,1216,NÃO ELEITO
55000,WHANDEILON DE CARVALHO SANTOS,1337,ELEITO POR QP
22222,WEVERTTON VICENTE COELHO,901,ELEITO POR QP
15777,WEVERTON MOREIRA VITAL,227,SUPLENTE
22123,WEUDEL DA SILVA NEVES,133,SUPLENTE
40200,WESTERNING FLOR DE LIMA JUNIOR,241,SUPLENTE
40333,WESNEY SILVA FELIPE,67,SUPLENTE
10456,WESLLEY SOARES DA SILVA,229,SUPLENTE
22123,WESLEY TIAGO FERNANDES LIMA,77,NÃO ELEITO
20000,WESLEY SOBRINHO TRINDADE,95,NÃO ELEITO
13813,WESLEY SILVA LOPES,22,NÃO ELEITO
14145,WESLEY RIBEIRO DE SOUSA,132,SUPLENTE
10234,WESLEY DA SILVA MARTINS,8,NÃO ELEITO
15151,WESLEI RODRIGUES NASCIMENTO,31,SUPLENTE
15200,WESCLEY SILVA AGUIAR,1722,ELEITO POR QP
22123,WERMESON SOUSA GOMES,194,SUPLENTE
45777,WERLLEY DE ALENCAR OLIVEIRA,13,SUPLENTE
45678,WERLESON DA SILVA MORAES,231,SUPLENTE
25000,WERLES SANTOS SILVA,256,ELEITO POR QP
51510,WERICLIS GUSTAVO BALEEIRO PINHEIRO,130,SUPLENTE
19000,WERBTI SOARES GAMA,126,SUPLENTE
12369,WENILTON SILVA CAVALCANTE,448,NÃO ELEITO
55007,WENDY BRENO RODRIGUES PALHETA,536,ELEITO POR QP
22122,WENDESON LAURINDO DE OLIVEIRA,1356,ELEITO POR QP
90500,WENDERSON RAMALHO MULATO,528,ELEITO POR QP
15888,WENDERSON MORAES QUARESMA,813,SUPLENTE
13013,WENDERSON FIGUEIRA RIBEIRO,26,SUPLENTE
51200,WENDER RODRIGUES CAMPOS,94,NÃO ELEITO
22345,WENDER ODINALDO BARROS DA SILVA,39,SUPLENTE
45999,WENDER DO NASCIMENTO GOBIRA,21,SUPLENTE
77123,WENDEO JOSE AIRES PEREIRA,20,NÃO ELEITO
40555,WENDELL JOSE BARBOSA SILVA,17,NÃO ELEITO
45111,WENDELL DA SILVA ROCHA,4,SUPLENTE
25678,WENDEL VALBER GOMES AMADOR,88,NÃO ELEITO
17100,WENDEL LUÍS OLIVEIRA DE SOUSA,135,SUPLENTE
45444,WEMES FERRAZ DA SILVA,117,SUPLENTE
55051,WEMBLEY LEMOS DE FARIAS,18,SUPLENTE
77111,WELYSON ALLEN MARTINS RECHENE,16,SUPLENTE
17198,WELVES DOS SANTOS SILVA,68,SUPLENTE
15000,WELTON SANTOS MAIA DA SILVA,228,SUPLENTE
20123,WELTON MARLON DA SILVA COSTA,825,ELEITO POR QP
77347,WELTON COSTA PEREIRA,11,SUPLENTE
25355,WELTON COSTA DE OLIVEIRA,47,SUPLENTE
43,WELSON JOSE SANTOS DE ARRUDA,36,NÃO ELEITO
43210,WELLYNGTON SALES DA SILVA,33,SUPLENTE
45045,WELLITON WAGNER DA SILVA DOS REIS,212,SUPLENTE
20888,WELLITON SOARES DE PINA,13,SUPLENTE
10123,WELLITON PAULO CASTILHO SANTOS,152,NÃO ELEITO
20123,WELLITON FERREIRA ORBANO,819,ELEITO POR QP
14014,WELLITON DE CASTRO GOMES,196,SUPLENTE
90555,WELLITON DAS CHAGAS FERREIRA,22,NÃO ELEITO
17022,WELLISON WENDELL NEVES LIMA,0,NÃO ELEITO
70444,WELLINGTON SILVA DO NASCIMENTO,142,SUPLENTE
12345,WELLINGTON SALES PEREIRA,375,SUPLENTE
77123,WELLINGTON RODRIGO CARDOSO,272,SUPLENTE
55789,WELLINGTON RIBEIRO ALVES,176,SUPLENTE
15455,WELLINGTON PROGENIO MAGALHÃES,722,SUPLENTE
40123,WELLINGTON MICHAEL MIRANDA PINHEIRO,319,NÃO ELEITO
15000,WELLINGTON LEITE DOS SANTOS NETO,296,ELEITO POR QP
12456,WELLINGTON JOSÉ DE SOUZA SARMENTO,45,SUPLENTE
22555,WELLINGTON FERNANDO DOS SANTOS SOUZA,171,SUPLENTE
70030,WELLINGTON FABRICIO ROSTAND CHAVES,23,NÃO ELEITO
12222,WELLINGTON DE SOUZA VELOSO,15,SUPLENTE
10999,WELLINGTON DE SOUSA FLORENCIO,3,SUPLENTE
43222,WELLINGTON DA SILVA LIMA,414,SUPLENTE
12555,WELLINGTON CORREIA DE MIRANDA,88,SUPLENTE
50444,WELLINGTON CARLOS HENRIQUES MARTINS,45,SUPLENTE
15115,WELLINGTON CARLOS DE OLIVEIRA,4,NÃO ELEITO
19444,WELLINGTON ACIDIO CASTRO PEREIRA SILVA,132,SUPLENTE
22433,WELLINGHTON TELES LIMA,124,SUPLENTE
22555,WELLIGTON RENATO DOS SANTOS COSTA,373,SUPLENTE
55555,WELLIGTON MOURÃO,158,NÃO ELEITO
45100,WELLES ROSA DE JESUS,428,ELEITO POR QP
19000,WELLES OLIVEIRA MIRANDA,356,NÃO ELEITO
13013,WELLENSON COLARES CASTRO,126,NÃO ELEITO
15444,WELKUER MOURA LEÃO,517,SUPLENTE
40000,WELKE REIS MARTINS,99,SUPLENTE
15333,WELITONN RAMOS DA SILVA,17,SUPLENTE
77777,WELITON RODRIGUES GONÇALVES,11,NÃO ELEITO
22333,WELITON RODRIGUES DE CARVALHO,54,SUPLENTE
22022,WELITON MELO LIMA,448,ELEITO POR QP
17000,WELITON LOPES DE SOUZA,269,SUPLENTE
13222,WELITON DOS SANTOS SANTANA,89,SUPLENTE
25318,WELITON CANCIO DE FARIAS,117,SUPLENTE
55222,WELITON BRANDÃO DA SILVA,430,ELEITO POR QP
25888,WELISON MELO DE SOUZA,568,SUPLENTE
14325,WELISON DOS SANTOS RAMOS,11,SUPLENTE
55555,WELISMAR MULATO DE SOUZA,651,ELEITO POR MÉDIA
14014,WELINTON SILVA CHAGAS,20,NÃO ELEITO
23333,WELINTON JOSÉ EUGÊNIO,15,NÃO ELEITO
15222,WELINGTON FARIA DA COSTA,422,ELEITO POR MÉDIA
10888,WELINGTON DA SILVA CUNHA,363,ELEITO POR QP
45333,WELIGTON AMARAL SANTOS,35,SUPLENTE
11269,WELIGHNTON CESAR ARAUJO DE ASSIS,10,NÃO ELEITO
23999,WELHIA DA SILVA MORAIS GOUVEIA,25,NÃO ELEITO
15380,WELDES DE JESUS APOLINÁRIO,253,SUPLENTE
45000,WELDER CAMARGO DE OLIVEIRA,65,SUPLENTE
10111,WELCKSON SOUSA MARINHO,93,NÃO ELEITO
90100,WELBER BARATA PEREIRA,30,SUPLENTE
15,WEDER MAKES CARNEIRO,6708,ELEITO
10125,WEDER CAMILO GOMES VAZ,32,NÃO ELEITO
14222,WECIA DE MELO DANTAS FIUZA,35,SUPLENTE
13111,WEBSON ALVES CARVALHO,24,SUPLENTE
51777,WEBER DE SOUSA LEÃO,40,NÃO ELEITO
19100,WEBER DA SILVA GALVAO,688,ELEITO POR MÉDIA
12333,WAUDYLLA KERLEY RODRIGUES PEREIRA BARROS,2,NÃO ELEITO
23000,WATILA SOUZA SILVA,12,SUPLENTE
17000,WASHINGTON SANTOS DE OLIVEIRA,726,ELEITO POR MÉDIA
17456,WASHINGTON RODRIGUES RIOS,11,NÃO ELEITO
18219,WASHINGTON MORENO MENEZES,86,SUPLENTE
11555,WASHINGTON LUIS ARAGÃO DAS DORES,118,NÃO ELEITO
36,WASHINGTON JORGE RODRIGUES BARBOSA,349,NÃO ELEITO
65336,WASHINGTON DA SILVA ALBANO,10,NÃO ELEITO
15222,WASHINGTON COSTA DE ALBUQUERQUE,840,ELEITO POR QP
10200,WASHINGTON ALMEIDA DA SILVA,39,SUPLENTE
51111,WARLLES RIBEIRO DA SILVA,68,NÃO ELEITO
10510,WARLISON SOUZA DE OLIVEIRA,8,NÃO ELEITO
55066,WARLISON BARROS DA SILVA,152,SUPLENTE
25678,WARLEY ROSA DA SILVA,78,SUPLENTE
77100,WARLEY PIRES CINTRA,5,NÃO ELEITO
10017,WARLEY ALBERTO CLAUHS,53,SUPLENTE
25333,WARLEN SANTOS,695,ELEITO POR QP
90001,WARLEM GIL DE JESUS LIMA,56,SUPLENTE
18988,WANUSA SILVA BOTELHO SOEIRO,7,NÃO ELEITO
65123,WANIA VAZ NASCIMENTO,139,SUPLENTE
45222,WANIA SIMONE SOARES DA SILVA,37,SUPLENTE
23888,WANIA APARECIDA DA SILVA SANTOS,20,SUPLENTE
12812,WANESSA SILVA GOMES,0,SUPLENTE
77999,WANESSA MAGALY DOS SANTOS LEAL,12,SUPLENTE
43043,WANDSON MOACIR CORREA DE OLIVEIRA,1447,ELEITO POR MÉDIA
19234,WANDSON DE SOUSA SILVA,45,SUPLENTE
15,WANDO WILLER DA SILVA TEIXEIRA,2829,NÃO ELEITO
40175,WANDLAS OLIVEIRA DO ROSÁRIO,262,SUPLENTE
77555,WANDILSON SOUSA DA TRINDADE,52,SUPLENTE
12444,WANDERSON WENDELL VASCONCELOS PINTO,128,NÃO ELEITO
45200,WANDERSON SANTOS CHAVES,63,SUPLENTE
10444,WANDERSON PASSON DA SILVA,453,ELEITO POR MÉDIA
40123,WANDERSON MOREIRA SIMOES,97,SUPLENTE
15111,WANDERSON JUNIOR SILVA BORGES,1466,ELEITO POR QP
19000,WANDERSON JOSE BRAGA,18,NÃO ELEITO
45024,WANDERSON GONÇALVES DE ALCÂNTARA,10,NÃO ELEITO
22000,WANDERSON FERNANDES DE ARAUJO,138,SUPLENTE
13100,WANDERSON DE ALMEIDA,20,NÃO ELEITO
22222,WANDERSON DA SILVA PEREIRA,80,SUPLENTE
43043,WANDERSON COSTA DA CONCEIÇÃO,25,NÃO ELEITO
45678,WANDERSON APARECIDO DELMONDES,827,ELEITO POR QP
45222,WANDERSON ALVES PINHEIRO,733,ELEITO POR MÉDIA
23222,WANDERLISE DE CASTRO GOMES,296,SUPLENTE
20400,WANDERLEY SANTOS ROZARIO,7,SUPLENTE
25125,WANDERLEY FRANCISCO DE SOUSA,90,SUPLENTE
15120,WANDERLEY DA SILVA SANTOS,464,SUPLENTE
25777,WANDERLEIA DE JESUS PAES BARRETO,22,SUPLENTE
33333,WANDERLEI SOARES DA CONCEIÇÃO,64,NÃO ELEITO
40999,WANDERLEI NOGUEIRA DE SOUSA,417,SUPLENTE
12121,WANDERLEI LOPES DE SOUSA,3,NÃO ELEITO
15111,WANDERLEI DA COSTA CAVALCANTE,522,ELEITO POR QP
14000,WANDERLEI CUNHA MENDONÇA,52,SUPLENTE
15612,WANDERLEI CARDOSO CARRERA,60,SUPLENTE
90321,WANDERLEA PAIVA,198,SUPLENTE
19000,WANDERCLEI PINHEIRO DOS SANTOS,85,SUPLENTE
12,WANDER NUNES DE RESENDE,408,NÃO ELEITO
36799,WANDER LUCIO DA CONCEIÇÃO NUNES,39,SUPLENTE
20000,WANDELMO WILLAME OLIVEIRA,276,SUPLENTE
22888,WANDEIR COIMBRA NOLETO,303,SUPLENTE
36999,WANDACLEA  CORREA FIGUEIREDO,34,SUPLENTE
14117,WANDA LUCIANA VAZ DA SILVA FARIAS,22,SUPLENTE
55000,WAMILTON GOMES FERREIRA,113,NÃO ELEITO
22222,WALYSON MATHEUS SOUSA PESSOA,976,ELEITO POR QP
15678,WALTO SANTOS CUNHA,841,ELEITO POR QP
77007,WALTINHO SOUSA DOS SANTOS,1,NÃO ELEITO
22333,WALTERLY MARCOS MARINHO WANDERLEY,245,SUPLENTE
22333,WALTER SOARES GOMES,414,ELEITO POR MÉDIA
10140,WALTER SERRA TEIXEIRA,96,SUPLENTE
14555,WALTER SANTA BRÍGIDA MACHADO,215,SUPLENTE
15555,WALTER ROCHA LEAL JUNIOR,7,SUPLENTE
13777,WALTER POWCI WAI WAI,43,NÃO ELEITO
10110,WALTER PIRES DE ARAUJO,66,SUPLENTE
13130,WALTER PEREIRA CAMPOS DELUQUI,26,SUPLENTE
15123,WALTER JUNIOR CASTRO MARÇAL,253,SUPLENTE
20,WALTER JOSÉ DA SILVA,4016,NÃO ELEITO
20000,WALTER GARCIA MORTALVÃO,24,NÃO ELEITO
10000,WALTER FRAZAO JUNIOR,3,SUPLENTE
23023,WALTER FERREIRA RODRIGUES,3,NÃO ELEITO
77123,WALTER EVANDRO VAZ DO NASCIMENTO,229,SUPLENTE
17700,WALTER DONATO FERNANDES LEITAO,22,NÃO ELEITO
45900,WALTER DE ALMEIDA ARAÚJO,394,SUPLENTE
90888,WALTER DA SILVA OEIRAS,802,ELEITO POR QP
40007,WALTER BONFIM MARQUES,66,SUPLENTE
45156,WALTENCI NOGUEIRA DE OLIVEIRA,101,SUPLENTE
20201,WALSON PEREIRA DE SOUZA,10,SUPLENTE
40100,WALQUIRIA CRISTINA BATISTA ALVES BARBOSA,27,SUPLENTE
10456,WALMY CESAR COSTA RODRIGUES,639,ELEITO POR QP
20279,WALMIR RODRIGUES DA COSTA,114,SUPLENTE
13151,WALMIR GRACEZ MACHADO,16,NÃO ELEITO
14192,WALMIR DE SOUSA XAVIER JUNIOR,87,SUPLENTE
20777,WALLYNSON CALAZANS VIANA,19,SUPLENTE
11165,WALLISON MARCIO DOS SANTOS,84,SUPLENTE
90222,WALLAN CLEYBER DOS SANTOS VAZ,112,SUPLENTE
51000,WALLACE PEREIRA DE CASTRO,13,NÃO ELEITO
50050,WALLACE BARROS DA COSTA,72,NÃO ELEITO
25999,WALKIRIA BARBOSA DOS SANTOS,15,SUPLENTE
77888,WALKIANE DE SOUZA CORREA,172,NÃO ELEITO
17222,WALISSON DIAS KUPERTINO,70,SUPLENTE
15155,WALISON SANTOS DE CASTRO,282,SUPLENTE
15333,WALISON DE SOUZA CARDOSO,420,SUPLENTE
40721,WALGNER TARCISIO SANTIAGO CARDOSO,20,SUPLENTE
55101,WALFREDO MADEIRA NUNES,40,NÃO ELEITO
15215,WALFIR ARAUJO PEREIRA,452,SUPLENTE
65222,WALESON DE MORAES FERREIRA,45,NÃO ELEITO
70139,WALESKA MAY GIRARD PEREIRA,5,SUPLENTE
